Item Code,Item Name,Brand,Category,Lot Number,Unit,Available Quantity,Alert Quantity,Sales Price,Tax,Status
IT0002,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
IT0006,Mi Band 4,Xiaomi,Wearables,,Pcs,100,1,"?1,528.00",Quantity(0.00%),Active
IT0008,Redmi Airdots,Xiaomi,Audio,,Pcs,100,1,?958.00,Quantity(0.00%),Active
IT0009,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
IT0014,ZS3,KZ,Audio,,Pcs,100,1,?389.00,Quantity(0.00%),Active
IT0015,Edon Handheld Mini Fan,Edon,Appliances,,Pcs,1,1,?399.00,Quantity(0.00%),Active
IT0018,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
IT0030,Xiaomi Alkaline AA Battery,Xiaomi,Camera Accessories,,Pcs,0,1,?135.00,Quantity(0.00%),Active
